Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Veeramadakari,"8,86,345","8,71,849","6,25,652","4,22,337","4,17,332","2,81,952",98.4%,71.8%,67.5%,98.8%,"1,35,304",32.4%,18.9%,13.4%,31.8%,"₹3,90,92,506",7.49,₹138.65,"21,12,765"
Yediyur,"8,14,811","7,98,794","6,36,431","4,14,247","4,09,396","2,80,735",98.0%,79.7%,65.1%,98.8%,"1,28,588",31.4%,18.0%,13.3%,34.5%,"₹3,48,11,464",6.46,₹124,"18,13,189"
Varthuru,"19,14,421","18,33,345","15,75,299","4,68,660","4,65,084","2,78,920",95.8%,85.9%,29.8%,99.2%,"1,86,099",40.0%,25.6%,14.3%,14.6%,"₹6,11,85,884",11.96,₹219.37,"33,37,238"
New Bayappanahalli,"10,20,922","9,92,218","8,36,877","4,41,347","4,37,364","2,77,827",97.2%,84.3%,52.7%,99.1%,"1,59,454",36.5%,22.4%,14.0%,27.2%,"₹3,70,25,916",6.92,₹133.27,"19,22,443"
Kodigehalli,"7,74,764","7,61,773","5,81,446","4,01,808","3,97,254","2,76,262",98.3%,76.3%,69.1%,98.9%,"1,20,928",30.4%,19.0%,11.3%,35.7%,"₹4,03,03,037",7.90,₹145.89,"21,82,011"
Basavanagudi,"7,02,634","6,93,563","5,27,888","3,86,988","3,81,695","2,75,580",98.7%,76.1%,73.3%,98.6%,"1,06,063",27.8%,15.4%,12.3%,39.2%,"₹3,25,08,444",6.19,₹117.96,"17,05,444"
Kaval Bairasandra,"8,61,125","8,43,902","6,77,625","4,05,130","4,00,709","2,73,658",98.0%,80.3%,59.8%,98.9%,"1,27,000",31.7%,19.0%,12.6%,31.8%,"₹3,67,98,324",7.12,₹134.47,"19,49,311"
Vidyaranyapura,"6,36,842","6,30,122","4,49,799","3,60,801","3,56,952","2,72,228",98.9%,71.4%,80.2%,98.9%,"84,666",23.7%,14.2%,9.5%,42.7%,"₹4,15,09,634",8.43,₹152.48,"22,96,130"
Vasanthpura,"7,56,998","7,46,921","5,47,428","3,95,492","3,91,532","2,71,980",98.7%,73.3%,72.2%,99.0%,"1,19,509",30.5%,18.7%,11.7%,35.9%,"₹3,59,31,882",7.04,₹132.11,"19,14,195"
Shanthi Nagar,"11,14,395","10,77,155","9,33,187","4,31,616","4,26,787","2,69,111",96.7%,86.6%,46.3%,98.9%,"1,57,609",36.9%,21.2%,15.6%,24.1%,"₹3,32,88,431",6.38,₹123.70,"17,17,868"
Hagadur,"11,89,469","11,58,214","9,40,935","4,34,572","4,30,997","2,68,270",97.4%,81.2%,46.2%,99.2%,"1,62,665",37.7%,23.2%,14.5%,22.6%,"₹4,56,04,538",9.05,₹169.99,"24,26,945"
RBI layout,"8,52,210","8,31,877","6,79,881","4,03,528","3,99,368","2,68,083",97.6%,81.7%,59.4%,99.0%,"1,31,231",32.9%,19.8%,12.9%,31.5%,"₹3,82,69,461",7.55,₹142.75,"20,24,908"
K R Puram,"11,26,436","10,99,901","8,31,177","4,24,394","4,21,533","2,62,753",97.6%,75.6%,51.1%,99.3%,"1,58,725",37.7%,24.0%,13.5%,23.3%,"₹4,05,40,031",8.28,₹154.29,"21,74,978"
Kempegowda Ward,"9,49,818","9,27,674","6,56,514","4,06,432","4,02,387","2,59,007",97.7%,70.8%,61.9%,99.0%,"1,43,321",35.6%,20.5%,15.0%,27.3%,"₹4,73,26,271",10.27,₹182.72,"26,61,191"
Jayamahal,"9,62,621","9,44,107","7,38,309","4,22,367","4,19,116","2,55,718",98.1%,78.2%,57.2%,99.2%,"1,63,354",39.0%,24.1%,14.7%,26.6%,"₹3,67,12,344",7.40,₹143.57,"18,92,145"
Jayachamarajendra Nagar,"7,40,071","7,27,580","5,75,252","3,71,267","3,67,620","2,55,396",98.3%,79.1%,64.5%,99.0%,"1,12,160",30.5%,17.8%,12.6%,34.5%,"₹3,37,11,233",6.99,₹131,"17,85,936"
Thanisandra,"7,15,597","7,05,920","5,11,787","3,70,256","3,65,823","2,49,343",98.6%,72.5%,72.3%,98.8%,"1,16,416",31.8%,18.9%,12.8%,34.8%,"₹3,99,71,802",8.72,₹160.31,"21,73,179"
